순번,내용,날짜,이미지
1,긴급호소문,2026-00-00,hong_1.jpg
2,홍보포스터,2026-00-00,hong_2.png|hong_3.png
3,선도지구지정 동의서 & 주민 입안 제안 동의서 작성 시작,2026-02-10,20260210.jpg
4,매주 금요일 저녁 7시 설명회 진행,2026-02-20,20260220.jpg
5,첫 홍보물 세대 전달 시작!,2026-02-21,20260221_1.jpg|20260221_2.jpg|20260221_3.jpg|20260221_4.jpg
6,두번째 홍보물 게시!,2026-02-24,20260224_1.jpg|20260224_2.jpg|20260224_3.jpg|20260224_4.jpg
7,IPARK(현대산업개발) 플랜카드 & GS건설 플랜카드 게시,2026-02-24,20260224_gun_1.jpg|20260224_gun_2.jpg|20260224_gun_3.jpg
8,파랑새 아파트 동의서 작성 부스 설치!,2026-02-25,20260225_1.jpg|20260225_2.jpg
9,향촌 아파트 동의서 작성 부스 설치!,2026-03-01,20260301.jpg
10,동의서 작성 격려 플랜카드 설치!,2026-03-03,20260303_1.jpg|20260303_2.jpg|20260303_3.jpg|20260303_4.jpg|20260303_5.jpg
11,둔산지구 재건축 핵심 30초 정리 | 향촌·파랑새 선도지구 설명!,2026-03-08,https://youtube.com/shorts/dYqiy9iwdZQ?si=T6_HugFHLJip6dgO
12,둔산지구 재건축 분담금 30초 정리 | 향촌·파랑새 선도지구 설명,2026-03-09,https://youtube.com/shorts/3220GtDaImY?si=GwrOKQm9WreOBQKH
13,둔산지구 재건축 이주비 30초 정리 | 향촌·파랑새 선도지구 설명,2026-03-09,https://youtube.com/shorts/tmDhdSBrRuw?si=3ly4PHQiqfSYuYhX
